org_id	remap_id	freebase_id
item_0	0	entity_0
item_1	1	entity_1
item_2	2	entity_2
item_3	3	entity_3
item_4	4	entity_4
item_5	5	entity_5
item_6	6	entity_6
item_7	7	entity_7
item_8	8	entity_8
item_9	9	entity_9
item_10	10	entity_10
item_11	11	entity_11
item_12	12	entity_12
item_13	13	entity_13
item_14	14	entity_14
item_15	15	entity_15
item_16	16	entity_16
item_17	17	entity_17
item_18	18	entity_18
item_19	19	entity_19
item_20	20	entity_20
item_21	21	entity_21
item_22	22	entity_22
item_23	23	entity_23
item_24	24	entity_24
item_25	25	entity_25
item_26	26	entity_26
item_27	27	entity_27
item_28	28	entity_28
item_29	29	entity_29
item_30	30	entity_30
item_31	31	entity_31
item_32	32	entity_32
item_33	33	entity_33
item_34	34	entity_34
item_35	35	entity_35
item_36	36	entity_36
item_37	37	entity_37
item_38	38	entity_38
item_39	39	entity_39
item_40	40	entity_40
item_41	41	entity_41
item_42	42	entity_42
item_43	43	entity_43
item_44	44	entity_44
item_45	45	entity_45
item_46	46	entity_46
item_47	47	entity_47
item_48	48	entity_48
item_49	49	entity_49
item_50	50	entity_50
item_51	51	entity_51
item_52	52	entity_52
item_53	53	entity_53
item_54	54	entity_54
item_55	55	entity_55
item_56	56	entity_56
item_57	57	entity_57
item_58	58	entity_58
item_59	59	entity_59
item_60	60	entity_60
item_61	61	entity_61
item_62	62	entity_62
item_63	63	entity_63
item_64	64	entity_64
item_65	65	entity_65
item_66	66	entity_66
item_67	67	entity_67
item_68	68	entity_68
item_69	69	entity_69
item_70	70	entity_70
item_71	71	entity_71
item_72	72	entity_72
item_73	73	entity_73
item_74	74	entity_74
item_75	75	entity_75
item_76	76	entity_76
item_77	77	entity_77
item_78	78	entity_78
item_79	79	entity_79
item_80	80	entity_80
item_81	81	entity_81
item_82	82	entity_82
item_83	83	entity_83
item_84	84	entity_84
item_85	85	entity_85
item_86	86	entity_86
item_87	87	entity_87
item_88	88	entity_88
item_89	89	entity_89
item_90	90	entity_90
item_91	91	entity_91
item_92	92	entity_92
item_93	93	entity_93
item_94	94	entity_94
item_95	95	entity_95
item_96	96	entity_96
item_97	97	entity_97
item_98	98	entity_98
item_99	99	entity_99
